Tweet,Tweet_Normalized,Tweet_Tokenized,Tweet_Stopwords,Tweet_Stemmed,Suicide
segala sesuatu yang dilakukan kekasih anda untuk anda adalah untuk kelangsungan hidupnya semua yang dilakukan ibu anda untuk anda adalah untuk kelangsungan hidup anda,segala sesuatu yang dilakukan kekasih anda untuk anda adalah untuk kelangsungan hidupnya semua yang dilakukan ibu anda untuk anda adalah untuk kelangsungan hidup anda,"['segala', 'sesuatu', 'yang', 'dilakukan', 'kekasih', 'anda', 'untuk', 'anda', 'adalah', 'untuk', 'kelangsungan', 'hidupnya', 'semua', 'yang', 'dilakukan', 'ibu', 'anda', 'untuk', 'anda', 'adalah', 'untuk', 'kelangsungan', 'hidup', 'anda']","['kekasih', 'kelangsungan', 'hidupnya', 'kelangsungan', 'hidup']","['kasih', 'langsung', 'hidup', 'langsung', 'hidup']",Not Suicide post
"ada kucing liar di kampus yang terlihat seperti garfield, para siswa selalu memberinya makan jadi dia sangat gemuk seperti saya","ada kucing liar di kampus yang terlihat seperti garfield, para siswa selalu memberinya makan jadi dia sangat gemuk seperti saya","['ada', 'kucing', 'liar', 'di', 'kampus', 'yang', 'terlihat', 'seperti', 'garfield', ',', 'para', 'siswa', 'selalu', 'memberinya', 'makan', 'jadi', 'dia', 'sangat', 'gemuk', 'seperti', 'saya']","['kucing', 'liar', 'kampus', 'garfield', ',', 'siswa', 'memberinya', 'makan', 'gemuk']","['kucing', 'liar', 'kampus', 'garfield', '', 'siswa', 'beri', 'makan', 'gemuk']",Not Suicide post
sedang dalam perjalanan,sedang dalam perjalanan,"['sedang', 'dalam', 'perjalanan']",['perjalanan'],['jalan'],Not Suicide post
saya memiliki kebiasaan buruk untuk menghindari menulis makalah dengan menonton video langsung instagram anak -anak yang saya kenal,saya memiliki kebiasaan buruk untuk menghindari menulis makalah dengan menonton video langsung instagram anak -anak yang saya kenal,"['saya', 'memiliki', 'kebiasaan', 'buruk', 'untuk', 'menghindari', 'menulis', 'makalah', 'dengan', 'menonton', 'video', 'langsung', 'instagram', 'anak', '-anak', 'yang', 'saya', 'kenal']","['memiliki', 'kebiasaan', 'buruk', 'menghindari', 'menulis', 'makalah', 'menonton', 'video', 'langsung', 'instagram', 'anak', '-anak', 'kenal']","['milik', 'biasa', 'buruk', 'hindar', 'tulis', 'makalah', 'tonton', 'video', 'langsung', 'instagram', 'anak', '-anak', 'kenal']",Potential Suicide post
haha baik saya punya lebih banyak tetapi saya tidak perlu melakukan apa pun selain mengajukan sisanya atau menghapusnya,haha baik saya punya lebih banyak tetapi saya tidak perlu melakukan apa pun selain mengajukan sisanya atau menghapusnya,"['haha', 'baik', 'saya', 'punya', 'lebih', 'banyak', 'tetapi', 'saya', 'tidak', 'perlu', 'melakukan', 'apa', 'pun', 'selain', 'mengajukan', 'sisanya', 'atau', 'menghapusnya']","['haha', 'mengajukan', 'sisanya', 'menghapusnya']","['haha', 'aju', 'sisa', 'hapus']",Not Suicide post
gooooood bagaimana kabarmu,gooooood bagaimana kabarmu,"['gooooood', 'bagaimana', 'kabarmu']","['gooooood', 'kabarmu']","['gooooood', 'kabar']",Not Suicide post
"rt saya ingin mengatakan saya tidak akan pernah aktif lagi, tidak yakin saya tidak punya alasan untuk berada di sini lagi, selamat tinggal semua orang","rt saya ingin mengatakan saya tidak akan pernah aktif lagi, tidak yakin saya tidak punya alasan untuk berada di sini lagi, selamat tinggal semua orang","['rt', 'saya', 'ingin', 'mengatakan', 'saya', 'tidak', 'akan', 'pernah', 'aktif', 'lagi', ',', 'tidak', 'yakin', 'saya', 'tidak', 'punya', 'alasan', 'untuk', 'berada', 'di', 'sini', 'lagi', ',', 'selamat', 'tinggal', 'semua', 'orang']","['rt', 'aktif', ',', 'alasan', ',', 'selamat', 'tinggal', 'orang']","['rt', 'aktif', '', 'alas', '', 'selamat', 'tinggal', 'orang']",Potential Suicide post
fokus pada peluang lebih dari anda fokus pada uang,fokus pada peluang lebih dari anda fokus pada uang,"['fokus', 'pada', 'peluang', 'lebih', 'dari', 'anda', 'fokus', 'pada', 'uang']","['fokus', 'peluang', 'fokus', 'uang']","['fokus', 'peluang', 'fokus', 'uang']",Not Suicide post
"seseorang tolong bunuh aku, aku sangat cinta","seseorang tolong bunuh diri aku, saya sangat cinta","['seseorang', 'tolong', 'bunuh', 'diri', 'aku', ',', 'saya', 'sangat', 'cinta']","['tolong', 'bunuh', ',', 'cinta']","['tolong', 'bunuh', '', 'cinta']",Potential Suicide post
saya berada di titik semester di mana saya sangat lelah dengan semua yang saya hanya ingin berguling dan mati,saya berada di titik semester di mana saya sangat lelah dengan semua yang saya hanya ingin berguling dan meninggal,"['saya', 'berada', 'di', 'titik', 'semester', 'di', 'mana', 'saya', 'sangat', 'lelah', 'dengan', 'semua', 'yang', 'saya', 'hanya', 'ingin', 'berguling', 'dan', 'meninggal']","['titik', 'semester', 'lelah', 'berguling', 'meninggal']","['titik', 'semester', 'lelah', 'guling', 'tinggal']",Potential Suicide post
ger rus eng saya ingin mati begitu banyak sehingga saya tidak ingin berada di sini lagi,ger rus eng saya ingin meninggal begitu banyak sehingga saya tidak ingin berada di sini lagi,"['ger', 'rus', 'eng', 'saya', 'ingin', 'meninggal', 'begitu', 'banyak', 'sehingga', 'saya', 'tidak', 'ingin', 'berada', 'di', 'sini', 'lagi']","['ger', 'rus', 'eng', 'meninggal']","['ger', 'rus', 'eng', 'tinggal']",Potential Suicide post
dan saya benci fakta jika itu benar dojae akan melakukan pembedahan dojae harus menanggung rasa sakit saja tanpa segye a,dan saya benci fakta jika itu benar dojae akan melakukan pembedahan dojae harus menanggung rasa sakit saja tanpa segye a,"['dan', 'saya', 'benci', 'fakta', 'jika', 'itu', 'benar', 'dojae', 'akan', 'melakukan', 'pembedahan', 'dojae', 'harus', 'menanggung', 'rasa', 'sakit', 'saja', 'tanpa', 'segye', 'a']","['benci', 'fakta', 'dojae', 'pembedahan', 'dojae', 'menanggung', 'sakit', 'segye', 'a']","['benci', 'fakta', 'dojae', 'bedah', 'dojae', 'tanggung', 'sakit', 'segye', 'a']",Potential Suicide post
rt saat anda bosan menjalani hidup anda yang dapat anda lakukan hanyalah menutup mata dan pergi tidur,rt saat anda bosan menjalani hidup anda yang dapat anda lakukan hanyalah menutup mata dan pergi tidur,"['rt', 'saat', 'anda', 'bosan', 'menjalani', 'hidup', 'anda', 'yang', 'dapat', 'anda', 'lakukan', 'hanyalah', 'menutup', 'mata', 'dan', 'pergi', 'tidur']","['rt', 'bosan', 'menjalani', 'hidup', 'lakukan', 'menutup', 'mata', 'pergi', 'tidur']","['rt', 'bosan', 'jalan', 'hidup', 'laku', 'tutup', 'mata', 'pergi', 'tidur']",Potential Suicide post
saya akan bunuh diri sekarang saya minta maaf anda merasa sangat putus asa,saya akan bunuh diri diri sekarang saya minta maaf anda merasa sangat putus asa,"['saya', 'akan', 'bunuh', 'diri', 'diri', 'sekarang', 'saya', 'minta', 'maaf', 'anda', 'merasa', 'sangat', 'putus', 'asa']","['bunuh', 'maaf', 'putus', 'asa']","['bunuh', 'maaf', 'putus', 'asa']",Potential Suicide post
nikmati saya tidak bisa masuk ke dalamnya musim ini tetapi senang mengetahui bahwa anda mendapatkan alur anda,nikmati saya tidak bisa masuk ke dalamnya musim ini tetapi senang mengetahui bahwa anda mendapatkan alur anda,"['nikmati', 'saya', 'tidak', 'bisa', 'masuk', 'ke', 'dalamnya', 'musim', 'ini', 'tetapi', 'senang', 'mengetahui', 'bahwa', 'anda', 'mendapatkan', 'alur', 'anda']","['nikmati', 'masuk', 'dalamnya', 'musim', 'senang', 'alur']","['nikmat', 'masuk', 'dalam', 'musim', 'senang', 'alur']",Not Suicide post
bloodstain di karpet siap untuk pergi,bloodstain di karpet siap untuk pergi,"['bloodstain', 'di', 'karpet', 'siap', 'untuk', 'pergi']","['bloodstain', 'karpet', 'pergi']","['bloodstain', 'karpet', 'pergi']",Not Suicide post
benar -benar ingin bagian hidup saya ini berakhir,benar -benar ingin bagian hidup saya ini berakhir,"['benar', '-benar', 'ingin', 'bagian', 'hidup', 'saya', 'ini', 'berakhir']","['-benar', 'hidup']","['-benar', 'hidup']",Potential Suicide post
saya sangat lapar tidak ada orang di timeline saya yang berani berbicara tentang makanan atau saya akan serius memakan anda,saya sangat lapar tidak ada orang di timeline saya yang berani berbicara tentang makanan atau saya akan serius memakan anda,"['saya', 'sangat', 'lapar', 'tidak', 'ada', 'orang', 'di', 'timeline', 'saya', 'yang', 'berani', 'berbicara', 'tentang', 'makanan', 'atau', 'saya', 'akan', 'serius', 'memakan', 'anda']","['lapar', 'orang', 'timeline', 'berani', 'berbicara', 'makanan', 'serius', 'memakan']","['lapar', 'orang', 'timeline', 'berani', 'bicara', 'makan', 'serius', 'makan']",Not Suicide post
ibu selalu menginginkan semua orang di rumah sebelum gelap seolah -olah ada di sana di malam hari yang tidak ada di sana di siang hari,ibu selalu menginginkan semua orang di rumah sebelum gelap seolah -olah ada di sana di malam hari yang tidak ada di sana di siang hari,"['ibu', 'selalu', 'menginginkan', 'semua', 'orang', 'di', 'rumah', 'sebelum', 'gelap', 'seolah', '-olah', 'ada', 'di', 'sana', 'di', 'malam', 'hari', 'yang', 'tidak', 'ada', 'di', 'sana', 'di', 'siang', 'hari']","['orang', 'rumah', 'gelap', '-olah', 'malam', 'siang']","['orang', 'rumah', 'gelap', '-olah', 'malam', 'siang']",Not Suicide post
saya pikir anda akan melakukan apapun yang anda inginkan,saya pikir anda akan melakukan apapun yang anda inginkan,"['saya', 'pikir', 'anda', 'akan', 'melakukan', 'apapun', 'yang', 'anda', 'inginkan']","['pikir', 'apapun']","['pikir', 'apa']",Not Suicide post
kedengarannya sangat mengerikan itulah yang saya lakukan ketika ayah saya masih hidup dengan saya tetapi saya berharap itu menjadi lebih baik,kedengarannya sangat mengerikan itulah yang saya lakukan ketika ayah saya masih hidup dengan saya tetapi saya berharap itu menjadi lebih baik,"['kedengarannya', 'sangat', 'mengerikan', 'itulah', 'yang', 'saya', 'lakukan', 'ketika', 'ayah', 'saya', 'masih', 'hidup', 'dengan', 'saya', 'tetapi', 'saya', 'berharap', 'itu', 'menjadi', 'lebih', 'baik']","['kedengarannya', 'mengerikan', 'lakukan', 'ayah', 'hidup', 'berharap']","['dengar', 'keri', 'laku', 'ayah', 'hidup', 'harap']",Potential Suicide post
tidak hanya satu sesaat sebelum penghargaan sabun dinilai dimulai,tidak hanya satu sesaat sebelum penghargaan sabun dinilai dimulai,"['tidak', 'hanya', 'satu', 'sesaat', 'sebelum', 'penghargaan', 'sabun', 'dinilai', 'dimulai']","['penghargaan', 'sabun', 'dinilai']","['harga', 'sabun', 'nilai']",Not Suicide post
baru saja bercakap -cakap dengan seberapa bergantung kita pada internet dan ponsel saat ini,baru saja bercakap -cakap dengan seberapa bergantung kita pada internet dan ponsel saat ini,"['baru', 'saja', 'bercakap', '-cakap', 'dengan', 'seberapa', 'bergantung', 'kita', 'pada', 'internet', 'dan', 'ponsel', 'saat', 'ini']","['bercakap', '-cakap', 'bergantung', 'internet', 'ponsel']","['cakap', '-cakap', 'gantung', 'internet', 'ponsel']",Not Suicide post
oh ya saya sedang membaca yang itu,oh ya saya sedang membaca yang itu,"['oh', 'ya', 'saya', 'sedang', 'membaca', 'yang', 'itu']","['oh', 'ya', 'membaca']","['oh', 'ya', 'baca']",Not Suicide post
hidup saya sangat menyedihkan dan tidak menjadi lebih baik,hidup saya sangat menyedihkan dan tidak menjadi lebih baik,"['hidup', 'saya', 'sangat', 'menyedihkan', 'dan', 'tidak', 'menjadi', 'lebih', 'baik']","['hidup', 'menyedihkan']","['hidup', 'sedih']",Potential Suicide post
kamu sau aku berdiri di jam 8 lalu pergi ke rumah offenbach di luar sinar matahari mencintaimu,kamu sau saya berdiri di jam 8 lalu pergi ke rumah offenbach di luar sinar matahari mencintaimu,"['kamu', 'sau', 'saya', 'berdiri', 'di', 'jam', '8', 'lalu', 'pergi', 'ke', 'rumah', 'offenbach', 'di', 'luar', 'sinar', 'matahari', 'mencintaimu']","['sau', 'berdiri', 'jam', '8', 'pergi', 'rumah', 'offenbach', 'sinar', 'matahari', 'mencintaimu']","['sau', 'diri', 'jam', '8', 'pergi', 'rumah', 'offenbach', 'sinar', 'matahari', 'cinta']",Not Suicide post
dia tidak lelah,dia tidak lelah,"['dia', 'tidak', 'lelah']",['lelah'],['lelah'],Not Suicide post
rt menjadi seorang ibu tunggal tidak pernah menjadi bagian dari rencana tetapi saya bangun setiap hari dan melakukan kotoran saya,rt menjadi seorang ibu tunggal tidak pernah menjadi bagian dari rencana tetapi saya bangun setiap hari dan melakukan kotoran saya,"['rt', 'menjadi', 'seorang', 'ibu', 'tunggal', 'tidak', 'pernah', 'menjadi', 'bagian', 'dari', 'rencana', 'tetapi', 'saya', 'bangun', 'setiap', 'hari', 'dan', 'melakukan', 'kotoran', 'saya']","['rt', 'tunggal', 'rencana', 'bangun', 'kotoran']","['rt', 'tunggal', 'rencana', 'bangun', 'kotor']",Potential Suicide post
tapi apa yang dimiliki bezos de blasio dan cuomo sedang berjalan ke kota lego kecil kami menendang semua menara lego kami a,tapi apa yang dimiliki bezos de blasio dan cuomo sedang berjalan ke kota lego kecil kami menendang semua menara lego kami a,"['tapi', 'apa', 'yang', 'dimiliki', 'bezos', 'de', 'blasio', 'dan', 'cuomo', 'sedang', 'berjalan', 'ke', 'kota', 'lego', 'kecil', 'kami', 'menendang', 'semua', 'menara', 'lego', 'kami', 'a']","['dimiliki', 'bezos', 'de', 'blasio', 'cuomo', 'berjalan', 'kota', 'lego', 'menendang', 'menara', 'lego', 'a']","['milik', 'bezos', 'de', 'blasio', 'cuomo', 'jalan', 'kota', 'lego', 'tendang', 'menara', 'lego', 'a']",Potential Suicide post
saya ingin uang,saya ingin uang,"['saya', 'ingin', 'uang']",['uang'],['uang'],Not Suicide post
bagaimana bisa jadi saya tahu apa yang diharapkan,bagaimana bisa jadi saya tahu apa yang diharapkan,"['bagaimana', 'bisa', 'jadi', 'saya', 'tahu', 'apa', 'yang', 'diharapkan']",['diharapkan'],['harap'],Not Suicide post
keterampilan kuliner mmm mmm telah meningkatkan bau begitu enak sehingga saya menyukai makanan yang dimasak di rumah,keterampilan kuliner mmm mmm telah meningkatkan bau begitu enak sehingga saya menyukai makanan yang dimasak di rumah,"['keterampilan', 'kuliner', 'mmm', 'mmm', 'telah', 'meningkatkan', 'bau', 'begitu', 'enak', 'sehingga', 'saya', 'menyukai', 'makanan', 'yang', 'dimasak', 'di', 'rumah']","['keterampilan', 'kuliner', 'mmm', 'mmm', 'meningkatkan', 'bau', 'enak', 'menyukai', 'makanan', 'dimasak', 'rumah']","['terampil', 'kuliner', 'mmm', 'mmm', 'tingkat', 'bau', 'enak', 'suka', 'makan', 'masak', 'rumah']",Not Suicide post
"saya perlu menempatkan diri saya untuk beristirahat, saya telah menabrak sepeda motor saya hari ini, saya tidak tahu bagaimana tetapi saya kebanyakan baik -baik saja itu adalah momen terindah dalam hidup saya, saya tahu sakit untuk berpikir bahwa tetapi rasanya menyenangkan melihat orang -orang mendekati saya untuk membantu saya setelah kecelakaan yang dimainkan oleh tubuh saya yang bisa diseret oleh motor saya. hingga mempercepat untuk terakhir kali dan kemudian mengakhiri semuanya, saya tidak ingin tenggelam lagi","saya perlu menempatkan diri saya untuk beristirahat, saya telah menabrak sepeda motor saya hari ini, saya tidak tahu bagaimana tetapi saya kebanyakan baik -baik saja itu adalah momen terindah dalam hidup saya, saya tahu sakit untuk berpikir bahwa tetapi rasanya menyenangkan melihat orang -orang mendekati saya untuk membantu saya setelah kecelakaan yang dimainkan oleh tubuh saya yang bisa diseret oleh motor saya. hingga mempercepat untuk terakhir kali dan kemudian mengakhiri semuanya, saya tidak ingin tenggelam lagi","['saya', 'perlu', 'menempatkan', 'diri', 'saya', 'untuk', 'beristirahat', ',', 'saya', 'telah', 'menabrak', 'sepeda', 'motor', 'saya', 'hari', 'ini', ',', 'saya', 'tidak', 'tahu', 'bagaimana', 'tetapi', 'saya', 'kebanyakan', 'baik', '-baik', 'saja', 'itu', 'adalah', 'momen', 'terindah', 'dalam', 'hidup', 'saya', ',', 'saya', 'tahu', 'sakit', 'untuk', 'berpikir', 'bahwa', 'tetapi', 'rasanya', 'menyenangkan', 'melihat', 'orang', '-orang', 'mendekati', 'saya', 'untuk', 'membantu', 'saya', 'setelah', 'kecelakaan', 'yang', 'dimainkan', 'oleh', 'tubuh', 'saya', 'yang', 'bisa', 'diseret', 'oleh', 'motor', 'saya', '.', 'hingga', 'mempercepat', 'untuk', 'terakhir', 'kali', 'dan', 'kemudian', 'mengakhiri', 'semuanya', ',', 'saya', 'tidak', 'ingin', 'tenggelam', 'lagi']","['menempatkan', 'beristirahat', ',', 'menabrak', 'sepeda', 'motor', ',', 'kebanyakan', '-baik', 'momen', 'terindah', 'hidup', ',', 'sakit', 'berpikir', 'menyenangkan', 'orang', '-orang', 'mendekati', 'membantu', 'kecelakaan', 'dimainkan', 'tubuh', 'diseret', 'motor', '.', 'mempercepat', 'kali', ',', 'tenggelam']","['tempat', 'istirahat', '', 'tabrak', 'sepeda', 'motor', '', 'banyak', '-baik', 'momen', 'indah', 'hidup', '', 'sakit', 'pikir', 'senang', 'orang', '-orang', 'dekat', 'bantu', 'celaka', 'main', 'tubuh', 'seret', 'motor', '', 'cepat', 'kali', '', 'tenggelam']",Potential Suicide post
kuas mah teef secara sekuler,kuas mah teef secara sekuler,"['kuas', 'mah', 'teef', 'secara', 'sekuler']","['kuas', 'mah', 'teef', 'sekuler']","['kuas', 'mah', 'teef', 'sekuler']",Not Suicide post
saya akan berada di london today wave jika anda melihat saya,saya akan berada di london today wave jika anda melihat saya,"['saya', 'akan', 'berada', 'di', 'london', 'today', 'wave', 'jika', 'anda', 'melihat', 'saya']","['london', 'today', 'wave']","['london', 'today', 'wave']",Not Suicide post
saya mencari berocca maka semuanya akan baik -baik saja,saya mencari berocca maka semuanya akan baik -baik saja,"['saya', 'mencari', 'berocca', 'maka', 'semuanya', 'akan', 'baik', '-baik', 'saja']","['mencari', 'berocca', '-baik']","['cari', 'berocca', '-baik']",Not Suicide post
"terima kasih saya pikir sudah berlalu, semoga harimu menyenangkan cinta barangmu","terima kasih saya pikir sudah berlalu, semoga harimu menyenangkan cinta barangmu","['terima', 'kasih', 'saya', 'pikir', 'sudah', 'berlalu', ',', 'semoga', 'harimu', 'menyenangkan', 'cinta', 'barangmu']","['terima', 'kasih', 'pikir', ',', 'semoga', 'harimu', 'menyenangkan', 'cinta', 'barangmu']","['terima', 'kasih', 'pikir', '', 'moga', 'hari', 'senang', 'cinta', 'barang']",Not Suicide post
saya ingin mati saya tidak pantas mendapatkan sepotong apa pun yang tidak saya miliki di mana pun saya muak dan lelah dengan segalanya,saya ingin meninggal saya tidak pantas mendapatkan sepotong apa pun yang tidak saya miliki di mana pun saya muak dan lelah dengan segalanya,"['saya', 'ingin', 'meninggal', 'saya', 'tidak', 'pantas', 'mendapatkan', 'sepotong', 'apa', 'pun', 'yang', 'tidak', 'saya', 'miliki', 'di', 'mana', 'pun', 'saya', 'muak', 'dan', 'lelah', 'dengan', 'segalanya']","['meninggal', 'sepotong', 'miliki', 'muak', 'lelah']","['tinggal', 'potong', 'milik', 'muak', 'lelah']",Potential Suicide post
aku benar -benar membenci seluruh keluargaku semua yang mereka lakukan adalah membuatku merasa gemuk dan aku sudah selesai dengan perasaan buruk tentang tubuhku dan,saya benar -benar membenci seluruh keluargaku semua yang mereka lakukan adalah membuatku merasa gemuk dan saya sudah selesai dengan perasaan buruk tentang tubuhku dan,"['saya', 'benar', '-benar', 'membenci', 'seluruh', 'keluargaku', 'semua', 'yang', 'mereka', 'lakukan', 'adalah', 'membuatku', 'merasa', 'gemuk', 'dan', 'saya', 'sudah', 'selesai', 'dengan', 'perasaan', 'buruk', 'tentang', 'tubuhku', 'dan']","['-benar', 'membenci', 'keluargaku', 'lakukan', 'membuatku', 'gemuk', 'selesai', 'perasaan', 'buruk', 'tubuhku']","['-benar', 'benci', 'keluarga', 'laku', 'buat', 'gemuk', 'selesai', 'asa', 'buruk', 'tubuh']",Potential Suicide post
saya suka blog anda juga fashion adalah 3,saya suka blog anda juga fashion adalah 3,"['saya', 'suka', 'blog', 'anda', 'juga', 'fashion', 'adalah', '3']","['suka', 'blog', 'fashion', '3']","['suka', 'blog', 'fashion', '3']",Not Suicide post
"maaf atas kehilangan anda, posting ini memberi saya merinding karena meskipun saya belum memikirkan bunuh diri anda","maaf atas kehilangan anda, posting ini memberi saya merinding karena meskipun saya belum memikirkan bunuh diri diri anda","['maaf', 'atas', 'kehilangan', 'anda', ',', 'posting', 'ini', 'memberi', 'saya', 'merinding', 'karena', 'meskipun', 'saya', 'belum', 'memikirkan', 'bunuh', 'diri', 'diri', 'anda']","['maaf', 'kehilangan', ',', 'posting', 'merinding', 'memikirkan', 'bunuh']","['maaf', 'hilang', '', 'posting', 'merinding', 'pikir', 'bunuh']",Potential Suicide post
ha ha saya memulai sesuatu dengan hal rocquestar bukan saya,ha ha saya memulai sesuatu dengan hal rocquestar bukan saya,"['ha', 'ha', 'saya', 'memulai', 'sesuatu', 'dengan', 'hal', 'rocquestar', 'bukan', 'saya']","['ha', 'ha', 'rocquestar']","['ha', 'ha', 'rocquestar']",Not Suicide post
photoboth berwarna hitam dan putih dan wayyyyy tua kami memanggilnya herbert lol aku mencintainya dia seperti legenda hidup harus mencintai berlin 3,photoboth berwarna hitam dan putih dan wayyyyy tua kami memanggilnya herbert tertawa saya mencintainya dia seperti legenda hidup harus mencintai berlin 3,"['photoboth', 'berwarna', 'hitam', 'dan', 'putih', 'dan', 'wayyyyy', 'tua', 'kami', 'memanggilnya', 'herbert', 'tertawa', 'saya', 'mencintainya', 'dia', 'seperti', 'legenda', 'hidup', 'harus', 'mencintai', 'berlin', '3']","['photoboth', 'berwarna', 'hitam', 'putih', 'wayyyyy', 'tua', 'memanggilnya', 'herbert', 'tertawa', 'mencintainya', 'legenda', 'hidup', 'mencintai', 'berlin', '3']","['photoboth', 'warna', 'hitam', 'putih', 'wayyyyy', 'tua', 'panggil', 'herbert', 'tertawa', 'cinta', 'legenda', 'hidup', 'cinta', 'lin', '3']",Not Suicide post
yang kami cari,yang kami cari,"['yang', 'kami', 'cari']",['cari'],['cari'],Not Suicide post
dia ingin membunuhnya,dia ingin membunuhnya,"['dia', 'ingin', 'membunuhnya']",['membunuhnya'],['bunuh'],Not Suicide post
kamu mengerti apa yang saya lakukan salah dengan hidup saya,kamu mengerti apa yang saya lakukan salah dengan hidup saya,"['kamu', 'mengerti', 'apa', 'yang', 'saya', 'lakukan', 'salah', 'dengan', 'hidup', 'saya']","['mengerti', 'lakukan', 'salah', 'hidup']","['erti', 'laku', 'salah', 'hidup']",Potential Suicide post
a saya benar -benar berharap saya bisa berada di sana untuk memberi anda beberapa tlc rachel hun yang serius mengirim ya hugz besar dan ciuman,a saya benar -benar berharap saya bisa berada di sana untuk memberi anda beberapa tlc rachel hun yang serius mengirim ya hugz besar dan ciuman,"['a', 'saya', 'benar', '-benar', 'berharap', 'saya', 'bisa', 'berada', 'di', 'sana', 'untuk', 'memberi', 'anda', 'beberapa', 'tlc', 'rachel', 'hun', 'yang', 'serius', 'mengirim', 'ya', 'hugz', 'besar', 'dan', 'ciuman']","['a', '-benar', 'berharap', 'tlc', 'rachel', 'hun', 'serius', 'mengirim', 'ya', 'hugz', 'ciuman']","['a', '-benar', 'harap', 'tlc', 'rachel', 'hun', 'serius', 'kirim', 'ya', 'hugz', 'cium']",Not Suicide post
